lat;long;featured
46.1734217;6.0197287;A
46.1743412;6.0199253000001;A
46.1743412;6.0199253000001;A
46.1973929;6.0210035;A
46.211268336811;6.0217220957702;B
46.1738468;6.0220487;A
46.5239422;6.0223705;A
46.1925064;6.0227417999999;A
46.1925064;6.0227418;A
46.1897402;6.0230035;A
46.1947158;6.0231507;A
46.183195586383;6.0231801889161;A
46.5263357;6.0235533;B
46.5263357;6.0235533;B
47.237829;6.0240539;A
47.2411688;6.025725;A
46.191852;6.0264529;A
46.192579795541;6.0277640317383;B
46.1927621;6.0281346;A
46.1927621;6.0281346;A
46.1927621;6.0281346;B
46.1927621;6.0281346;A
46.1927621;6.0281346;A
46.2019988;6.0292456;A
46.2019988;6.0292456;A
46.2019988;6.0292456;A
46.2019988;6.0292456;A
46.2019988;6.0292456;A
46.1932107;6.0294047;A
46.198150315568;6.0299540252563;A
46.6378455;6.0301008;A
46.6378455;6.0301008;B
46.1856156;6.0308646999999;A
46.218362254467;6.0312898518372;A
46.199836023632;6.0312951297638;A
45.9038194;6.031928;A
46.2005018726;6.03200859736;B
46.1939585;6.0323818;A
46.1939591;6.0324969;A
46.1939591;6.0324969;A
46.1939591;6.0324969;A
46.1939591;6.0324969000001;A
46.1939591;6.0324969000001;B
46.1939591;6.0324969000001;A
46.1939591;6.0324969000001;A
46.1397905;6.0329824;A
46.17753;6.0338295;A
46.205518255811;6.034315383606;A
46.1562764;6.0350123;A
46.1550381;6.0353291;A
46.2300063;6.0360346;A
46.2003427;6.0364149;A
46.2008004;6.0370509;A
46.2121309;6.0372117;A
46.1999494;6.037345;A
46.2143462;6.0373978;A
46.115447;6.0374739;A
46.2142394;6.0374912;A
46.2142394;6.0374912;A
46.1397756;6.0386604;A
46.2234867;6.0388114;A
46.2234867;6.0388114;A
46.2234867;6.0388114;A
46.2234867;6.0388114;A
46.2481161;6.0398122;A
45.8985886;6.0403382;A
46.1734267;6.0410195;A
46.198550337089;6.0410990132141;A
46.1988294;6.041273;A
46.1946043;6.0416285;A
46.1944687;6.0423056;A
46.1427419;6.0427907;A
46.144387332996;6.0428555066071;A
46.1904187;6.0429278;A
46.2011396;6.0429357;A
46.20111;6.0438844;A
46.20111;6.0438844;A
46.1428115;6.0447822;A
46.1432788;6.0448496;A
46.200740988955;6.0449506653595;A
46.1963195;6.0450048;A
46.1963195;6.0450048;A
46.1963195;6.0450048;A
46.808926;6.0450100000001;A
46.1978867;6.0451461;A
46.1978867;6.0451461;A
46.2188374;6.0452352;A
46.1931756;6.0468732;A
46.1931756;6.0468732;A
46.1800537;6.0479859;A
46.1926328;6.0480919;A
46.1802129;6.0492253;A
46.1967043;6.0499442;A
46.1967043;6.0499442;A
46.2337481;6.0523948;B
46.2337481;6.0523948;B
46.2337481;6.0523948;B
46.2337481;6.0523948;A
46.2337481;6.0523948;A
46.2337481;6.0523948;A
46.1913547;6.0530729;A
46.3235863;6.0534132;A
46.222474668802;6.0547430874634;A
46.2365841;6.0569512;A
46.1633509;6.0574206;A
46.3341909;6.058036;B
46.231297716286;6.0588528354736;A
46.484364833705;6.0597246058044;B
46.1768725;6.0597576;A
46.175002312317;6.0602628998779;A
46.2193459;6.0606425;A
46.48434;6.0618059999999;A
46.48434;6.061806;A
46.175240048393;6.0634386353515;B
46.4846365;6.0638981;A
46.1734294;6.0646672;A
46.1734294;6.0646672;A
46.1736529;6.0652832000001;A
46.175864100702;6.0655844025635;A
46.2533894;6.0666311;B
46.1740295;6.0666594;A
46.176250415249;6.0670435242676;A
46.1738482;6.0671122;A
46.173983598891;6.0687645547394;A
46.1718274;6.0690589;A
46.1836714;6.0693791;A
46.1740596;6.0695915;A
46.1740569;6.0696503;A
46.2287898;6.0700093;A
46.2288167;6.0700455;A
46.2268747;6.0701094;A
46.2268747;6.0701094;A
46.2268747;6.0701094;A
46.2268711;6.070167;A
46.175061746432;6.0702085309051;A
46.2282211;6.070594;A
46.2282211;6.070594;A
46.2282755;6.0709373;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
